exercise;ability;image;video;description;sets;focus;intensity
Flying sprints;Speed;/images/flying-sprints.png;https://player.vimeo.com/video/1009853619?h=3e1ca16b9e&autoplay=1;Accelerate gradually over the first part of the drill (e.g., from 0 to 15-20 meters). When you reach that mark, transition into a full sprint. Sprint as fast as possible for the next 20-30 meters. Working on top end speed.;Sets: 3 x 50m;Top speed;5
Kneeling starts;Speed;/images/kneeling-starts.png;https://player.vimeo.com/video/1003198974?h=0f57fdbf7b&autoplay=1;Working on explosive acceleration. Push off the front foot and explode forward, driving through the hips and extending the back leg. Finish running through 5-10m at full pace.;Sets: 4 x 10m;Acceleration;3
Lunge jumps;Speed;/images/lunge-jumps.png;https://player.vimeo.com/video/1003197019?h=4a5d4f2a51&autoplay=1;Working on explosive acceleration. In a lunge position push through both feet explosively to jump straight up into the air. switch your leg positions so you land with you opposite leg in front, back in a lunge position and immediately repeat.;Sets: 3 x 10 jumps;Power;3
Elevated ankle iso holds;Speed;/images/elevated-ankle-iso-holds.png;;Working on lower leg strength. Start in a lunge stance with your front foot resting on the ball of the feet (on elevated surface) and your back foot not touching the ground. Hold the position for 20-40 sec.;Sets: 2x 30 sec;Strength;1
Wall knee drive;Speed;/images/wall-knee-drive.png;https://player.vimeo.com/video/1003212150?h=87b9a3d76f&autoplay=1;Stand facing a wall with your feet hip-width apart. place your hands on the wall at shoulder height and shoulder-width apart. Your arms should be extended with a slight bend in the elbows. Lean slightly forward. Lift your right knee toward your chest in a controlled and explosive manner, mimicking a high-knee running motion. Your knee should come up as high as your hip or higher. Quickly return your right foot to the starting position while simultaneously driving your left knee up toward your chest. Continue alternating knees, performing the movement at a steady pace.;Sets: 3 x 10 reps;Strength;2
Hill sprints;Speed;/images/hill-sprints.png;https://player.vimeo.com/video/1003195440?h=245f4c50aa&autoplay=1;Find a good space at an incline. Perform short quick sprints in an upward angle helping with rate of force development therefore speed and explosive strength.;Sets: 5 x 15m;Power;5
Side lunge;Agility;/images/side-lunge.png;https://player.vimeo.com/video/1003201741?h=521e6fe7ad&autoplay=1;Stand upright with your feet hip-width apart. Take a large step to your right with your right foot, keeping your left foot stationary. Your toes should point forward. As you step out, bend your right knee and push your hips back, lowering your body into a lunge position. Perform the same movement on the other side, stepping out with your left foot and lunging to the left. Continue alternating sides.;Sets: 3 x 8 reps;Strength;3
Single leg deadlift;Agility;/images/single-leg-deadlift.png;https://player.vimeo.com/video/1003208774?h=9f1236ca50&autoplay=1;Slowly hinge forward at the hips, keeping your back flat and your chest open. Your lifted leg should extend straight behind you as your upper body lowers toward the ground. Your body should form a straight line from your head to your right heel. Continue lowering your torso until you feel a stretch in the hamstring of your standing leg. Engage your glutes and hamstrings to reverse the movement, bringing your torso back to the upright position. Continue and finish the set amount of reps.;Sets: 3 x 8 reps each leg;Strength;2
Sprint to deadstop;Agility;/images/sprint-to-deadstop.png;https://player.vimeo.com/video/1003209927?h=6044c91e70&autoplay=1;Start in a comfortable, athletic stance with feet shoulder-width apart. Lean slightly forward, ready to sprint. Explode off the starting line and sprint as fast as you can for 5 meters. As you reach the 5-meter mark, decelerate quickly and aim to be at dead stop at the 5 meter mark in a lunge position.;Sets: 3 x 5 sprints;Acceleration,Deceleration;4
Bounds;Agility;/images/bounds.png;https://player.vimeo.com/video/1003171616?h=8ac5995ec5&autoplay=1;Push-off from one foot. Launch yourself forward and upward, drive the opposite knee up towards your chest. Alternate legs with each bound, maintaining a rhythmic and powerful motion. Continue bounding for about 20-30 meters.;Sets: 3 x 5 each leg;Power;5
Single leg front and back jump;Agility;/images/single-leg-frontback-jump.png;https://player.vimeo.com/video/1003206116?h=2e5453cceb&autoplay=1;Stand on one leg with a slight bend in the knee. Push off the ground with the foot of your supporting leg and jump forward a short distance. Immediately jump backward to the starting position using the same leg. Continue jumping forward and backward, as quick as you can, on the same leg for the desired number of repetitions. switch to the other leg and repeat the exercise.;Sets: 3 x 10 jumps;Power;3
Seated explosive jumps;Agility;/images/seated-explosive-jumps.png;https://player.vimeo.com/video/1003204671?h=d915fcc8ee&autoplay=1;Sit on a sturdy object with your feet flat on the ground, your knees should bend approx. 90 degrees. In one powerful motion, push through your feet, extend your legs, and jump up from the seated position. Swing your arms up to help generate momentum and lift. Focus on reaching as high as possible. Try to fully extend your body during the jump, aiming to be as tall as you can in the air. Land softly on the balls of your feet, bending your knees and hips to absorb the impact.;Sets: 3 x 4 jumps;Power;3
5 m sprint;Speed;/images/flying-sprints.png;https://player.vimeo.com/video/1009867098?h=1ddfe55ced&autoplay=1;Linear acceleration, force development capabilities. Accelerating from a static start to maximum speed over 5-meter distance;Sets: 5 x 1 sprints;Acceleration;2
10 m sprint;Speed;/images/flying-sprints.png;https://player.vimeo.com/video/1009867098?h=1ddfe55ced&autoplay=1;Linear acceleration, force development capabilities. Accelerating from a static start to maximum speed over 10-meter distance;Sets: 4 x 1 sprints;Acceleration;3
15 m sprint;Speed;/images/flying-sprints.png;https://player.vimeo.com/video/1009867098?h=1ddfe55ced&autoplay=1;Linear acceleration, force development capabilities. Accelerating from a static start to maximum speed over 15-meter distance;Sets: 4 x 1 sprints;Acceleration;3
20 m sprint;Speed;/images/flying-sprints.png;https://player.vimeo.com/video/1009867098?h=1ddfe55ced&autoplay=1;Linear acceleration, force development capabilities. Accelerating from a static start to maximum speed over 20-meter distance;Sets: 3 x 1 sprints;Speed;3
30 m sprint;Speed;/images/flying-sprints.png;https://player.vimeo.com/video/1009867098?h=1ddfe55ced&autoplay=1;Linear acceleration, force development capabilities. Accelerating from a static start to maximum speed over 30-meter distance;Sets: 3 x 1 sprints;Speed;4
40 m sprint;Speed;/images/flying-sprints.png;https://player.vimeo.com/video/1009867098?h=1ddfe55ced&autoplay=1;Linear acceleration, force development capabilities. Accelerating from a static start to maximum speed over 40-meter distance;Sets: 3 x 1 sprints;Speed;4
60 m sprint;Speed;/images/flying-sprints.png;https://player.vimeo.com/video/1009867098?h=1ddfe55ced&autoplay=1;Linear acceleration, force development capabilities. Accelerating from a static start to maximum speed over 60-meter distance;Sets: 3 x 1 sprints;Speed;5
Crossover steps;Agility;/images/crossover-steps.png;https://player.vimeo.com/video/1007977232?h=8f43784386&autoplay=1;The body is positioned to move laterally (side to side). The athlete takes a lateral step in the desired direction with the lead foot. For example, if moving to the right, the right foot moves first. The lead foot crosses over the body and in front of the opposite foot. The trailing foot then crosses over and in front of the lead foot;Sets: 3 x 15m (both sides);Technique;2
Side shuffle to sprint;Agility;/images/side-shuffle.png;https://player.vimeo.com/video/1007988081?h=40d9d07aa4&autoplay=1;Mark of 5 meters for exercise area, Shuffle laterally towards the marker, quickly change direction and shuffle back to start marker then as you return to the starting point, immediately transition into a forward sprint towards the final marker.;Sets: 3 x 15m (both sides);Acceleration;4
Box drop;Agility;/images/box-drop.png;https://player.vimeo.com/video/1007990564?h=fb6731cec1&autoplay=1;Find a stable elevated platform to stand on approx: 20-50cm. Step out from the item and drop on to the ground, land with both feet on the ground.;Sets: 4 x 3 drops;Deceleration;2
Skater jumps;Agility;/images/skater-jumps.png;https://player.vimeo.com/video/1007996154?h=a9400bed35&autoplay=1;Push off with your outside leg (the one farthest from the direction you are jumping) to jump laterally to the opposite side. Land softly on the opposite leg, bending your knee to absorb the impact. Immediately push off with that leg to jump back to the starting side.;Sets: 3 x 10 jumps (5 each side);Power;4
Standing starts;Speed;/images/flying-sprints.png;https://player.vimeo.com/video/1009867098?h=1ddfe55ced&autoplay=1;Start in an ready position with one foot slightly infront of the other, when ready explode forward by driving off the ground with the front leg and driving the back forward, accelerating as fast as you can over the set distance.;Sets: 5 x 1 sprints;Acceleration;3
Zigzag run;Agility;/images/zigzag-run.png;https://player.vimeo.com/video/1007999643?h=84c577f8f3&autoplay=1;Set up 4-6 cones in a zig-zag pattern around 3-5 meters apart. Begin at the first cone sprint to the next. As you approach the cone, prepare to change direction, plant your outside foot next to the cone, pivot your body, and push off to sprint towards the next cone. repeat for all cones to finish the drill.;Sets: 4 x 1 runs;Agility;4
3 cone drill;Agility;/images/3-cone-drill.png;https://player.vimeo.com/video/1008004042?h=204346635e&autoplay=1;Place 3 cones in a straight line, each cone approximately 5 meters apart. Begin at Cone 1, Sprint to Cone 2 and touch it and back to cone 1. Repeat for all cones always returning to cone 1. Each sprint increases in length.;Sets: 3 x 1 runs;Agility;4
Single leg side to side jumps;Agility;/images/single-leg-s2s-jumps.png;https://player.vimeo.com/video/1009899764?h=6b02d2f9fc&autoplay=1;Stand on one leg with the other leg slightly off the ground. Push off the standing leg to jump sideways (laterally) a short distance to the other side, landing softly on the same leg. Quikly jump back to the other side, and repeat.;Sets: 2 x 15 sec (each leg);Acceleration;4
Pogo jumps;Speed;/images/pogo-jumps.png;https://player.vimeo.com/video/1009855936?h=55ceb74171&autoplay=1;Stand upright with your feet together. Perform quick, repetitive vertical jumps, using mainly your ankles and calves to generate the force. Your knees should remain relatively straight but not locked, allowing for rapid and minimal bending during the jumps;Sets: 3 x 15 sec;Acceleration;4
Figure eight agility;Agility;/images/figure-eight-agility.png;https://player.vimeo.com/video/1009898197?h=7bd74c4bd3&autoplay=1;Incorporates curvilinear speed from both right and left sides with different intensity of angles.;Sets: 4 x 1 runs;Agility;4
